Affiliation,K2_count,Kepler_count,CarnegieClass
Ton Duc Thang University,,1,-2.0
Stony Brook University,,1,15.0
Universidad Autonóma de Madrid,,1,-2.0
Center for Interdisciplinary Exploration &amp,,1,-2.0
Center for Radio Astronomy and Astrophysics Mackenzie Universidade Presbiteriana Mackenzie Rua da Consolação,,1,-2.0
Taishan University,,1,-2.0
Center for Radioastronomy and Astrophysics Mackenzie (CRAAM),,1,-2.0
Succ. Centre-Ville,,1,-2.0
Universidade Técnica de Lisboa,,1,-2.0
Center for Star and Planet Formation,,1,-2.0
Universidade Presbiteriana Mackenzie,,1,-2.0
Universidade Federale do Rio Grande do Norte,,1,-2.0
CEA/DSM/IRFU/SAp - CNRS - Université Paris Diderot,,1,-2.0
CEA/Irfu Université Paris-Diderot CNRS/INSU,,1,-2.0
Sun Yat-Sen University,,1,-2.0
Universidade Estadual Paulista—Grupo de Dinâmica Orbital &amp,,1,-2.0
Sun Yat-sen University,,1,-2.0
Swiss Federal Institute of Aquatic Science and Technology,,1,-2.0
CNRS and Université de Bordeaux,,1,-2.0
CP 6128 Succursale Centre-Ville,,1,-2.0
Universidad de Monterrey,,1,-2.0
Center for Science and Technology,,1,-2.0
CRESST/Joint Center for Astrophysics,,1,-3.0
USA and Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA),,1,-2.0
California Institute of Technology,78,102,15.0
Massachusetts Institute of Technology,64,104,15.0
Center for Astrophysics | Harvard & Smithsonian,62,168,-3.0
NASA Ames Research Center,51,181,-4.0
University of Warwick,40,32,-2.0
University of Texas at Austin,33,33,15.0
University of Hawaii at Manoa,31,64,15.0
University of California-Berkeley,28,163,15.0
Konkoly Observatory,27,38,-2.0
University of Sydney,24,120,-2.0
U,23,79,-2.0
University of Hawai'i-Manoa,22,67,15.0
Institute of Astronomy,20,80,-2.0
Universitá di Torino,19,,-2.0
Aarhus University,19,110,-2.0
Princeton University,19,83,15.0
Research Centre for Astronomy and Earth Sciences,19,19,-2.0
Universidade do Porto,17,42,-2.0
Ohio State University-Main Campus,15,40,15.0
Keele University,15,30,-2.0
Instituto de Astrofísica e Ciências do Espaço,15,15,-2.0
Pontificia Universidad Católica de Chile,15,3,-2.0
Stellar Astrophysics Centre,14,72,-2.0
Université de Montréal,14,7,-2.0
Instituut voor Sterrenkunde,13,101,-2.0
NASA Goddard Space Flight Center (GSFC),13,29,-4.0
College Hill,13,7,-2.0
University of Tokyo,12,65,-2.0
University of Cambridge,12,32,-2.0
University of North Carolina at Chapel Hill,12,8,15.0
University of Delaware,12,7,15.0
IPAC/Caltech,12,2,-3.0
University of Birmingham,11,101,-2.0
Instituto de Astrofísica de Canarias,11,39,-2.0
Tokyo Institute of Technology,11,12,-2.0
Columbia University in the City of New York,10,34,15.0
NASA Exoplanet Science Institute/Caltech,10,20,-4.0
Missouri State University,10,20,17.0
Armagh Observatory and Planetarium,9,,-2.0
Sydney Institute for Astronomy (SIfA),9,68,-2.0
University of Oxford,9,16,-2.0
Flatiron Institute,9,6,-3.0
Institute of Planetary Research,9,6,-2.0
Instituto de Astrofísica de Canarias (IAC),9,5,-2.0
Sydney Institute for Astronomy,8,22,-2.0
Sternberg Astronomical Institute,8,16,-2.0
Lomonosov Moscow State University,8,13,-2.0
Leibniz-Institut für Astrophysik Potsdam (AIP),8,9,-2.0
University of Notre Dame,8,5,15.0
German Aerospace Center,8,4,-2.0
Observatoire de Paris,7,77,-2.0
University of Michigan-Ann Arbor,7,20,15.0
PSL Research University,7,20,-2.0
Université de Genève,7,19,-2.0
Sorbonne Universités,7,7,-2.0
Instituto de Astrofísica,7,1,-2.0
European Southern Observatory,6,,-2.0
Queen's University Belfast,6,,-2.0
University of Central Lancashire,6,40,-2.0
National Astronomical Observatory of Japan,6,30,-2.0
University of Cincinnati-Main Campus,6,26,15.0
Observatoire de Genève,6,17,-2.0
Korea Astronomy and Space Science Institute,6,16,-2.0
Vanderbilt University,6,13,15.0
Max-Planck-Institut für Astronomie,6,11,-2.0
Masaryk University,6,10,-2.0
University of New South Wales,6,8,-2.0
Baja Astronomical Observatory of Szeged University,6,3,-2.0
Wesleyan University,6,1,21.0
Eberhard-Karls Universität Tübingen,5,,-2.0
SETI Institute,5,41,-3.0
University of Colorado Boulder,5,19,15.0
Harvard University,5,15,15.0
Iowa State University,5,13,15.0
Leiden Observatory,5,11,-2.0
New York University,5,9,15.0
Western Washington University,5,4,18.0
Curtin University,4,,-2.0
Raemor Vista Observatory,4,,-2.0
Jeremiah Horrocks Institute,4,28,-2.0
Yunnan Observatories,4,26,-2.0
NOIRLab,4,24,-3.0
Max Planck Institute for Solar System Research,4,22,-2.0
Université Paris Diderot,4,18,-2.0
New Mexico State University-Main Campus,4,17,16.0
Aix Marseille Université,4,14,-2.0
Leiden University,4,12,-2.0
Observatoire Astronomique de l'Université de Genève,4,10,-2.0
Okayama Astrophysical Observatory,4,9,-2.0
Warsaw University Observatory,4,9,-2.0
Southwest Research Institute,4,9,-3.0
University College London,4,8,-2.0
Armagh Observatory,4,8,-2.0
Sonneberg Observatory,4,5,-2.0
Center for Astrophysics,4,4,-2.0
Stockholm University,4,3,-2.0
Università di Padova,4,3,-2.0
Tel-Aviv University,4,3,-2.0
Hereford Arizona Observatory,4,3,-2.0
National Space Institute,4,2,-2.0
Astrophysics Research Centre,4,2,-2.0
Technical University of Denmark,4,2,-2.0
Rheinisches Institut für Umweltforschung an der Universität zu Köln,4,1,-2.0
York University,4,1,22.0
Onsala Space Observatory,3,,-2.0
Institut de Planétologie et d'Astrophysique de Grenoble (IPAG),3,,-2.0
Université de Grenoble,3,,-2.0
Astronomical Institue,3,,-2.0
Universite de Montreal,3,,-2.0
Chalmers University of Technology,3,,-2.0
University of Oviedo,3,,-2.0
Yale University,3,74,15.0
National Astronomical Observatories,3,43,-2.0
University of Toronto,3,40,-2.0
South African Astronomical Observatory,3,39,-2.0
University of Arizona,3,35,15.0
University of Chicago,3,33,15.0
Astronomical Institute,3,33,-2.0
San Diego State University,3,27,16.0
Boston University,3,25,15.0
University of Vienna,3,24,-2.0
The University of Texas at Austin,3,22,15.0
Villanova University,3,20,16.0
Space Telescope Science Institute,3,17,-3.0
University of Edinburgh,3,16,-2.0
University of Maryland-College Park,3,14,15.0
University of St Andrews,3,9,-2.0
Planetary Science Institute,3,7,-3.0
University of Southern Queensland,3,5,-2.0
Bishop's University,3,4,-2.0
University of Oklahoma-Norman Campus,3,4,15.0
Pavol Jozef Šafárik University,3,4,-2.0
College of New Jersey,3,3,18.0
IPAC/Caltech,3,3,-2.0
University of California-San Diego,3,3,15.0
University of Manchester,3,2,-2.0
Institut de recherche sur les exoplanètes,3,2,-2.0
Gemini Observatory,3,1,-3.0
European Southern Observatory (ESO),3,1,-2.0
Astrobiology Center,2,,-2.0
6301 Stevenson Center,2,,-2.0
Institute of Space Sciences (ICE,2,,-2.0
Paris Observatory,2,,-2.0
International Centre for Radio Astronomy Research,2,,-2.0
Al-Balqa' Applied University,2,,-2.0
University of St. Andrews,2,,-2.0
Osmania University,2,,-2.0
Universite de Toulouse,2,,-2.0
Universidade Estadual de Ponta Grossa,2,,-2.0
Dublin City University,2,,-2.0
” Università di Salerno,2,,-2.0
University of Northern Colorado,2,,17.0
Tufts University,2,,15.0
University College Cork,2,,-2.0
National Institute of Natural Science,2,,-2.0
Technologies and Astrophysics Research (STAR) Institute,2,,-2.0
Astronomical Observatory of Jagiellonian University,2,,-2.0
Institut für Astrophysik,2,27,-2.0
Université de Toulouse,2,25,-2.0
Carnegie Institution for Science,2,19,-3.0
Australian National University,2,18,-2.0
Institut d'Astrophysique de Paris,2,14,-2.0
University of Bern,2,14,-2.0
University of California at Berkeley,2,12,15.0
Observatory,2,11,-2.0
Nicolaus Copernicus Astronomical Center,2,11,-2.0
Lund Observatory,2,10,-2.0
Université de Liège,2,9,-2.0
Copernicus Astronomical Center,2,8,-2.0
Lund University,2,7,-2.0
Center for Space and Habitability,2,6,-2.0
Southern Connecticut State University,2,6,18.0
Centre for Astrophysics,2,5,-2.0
Aryabhatta Research Institute of Observational Sciences (ARIES),2,5,-2.0
Institute for Astrophysical Research,2,5,-2.0
University of Sheffield,2,4,-2.0
Sorbonne Université,2,4,-2.0
North-West University,2,4,-2.0
Eötvös University,2,4,-2.0
Universidade Federal do Rio Grande do Sul,2,3,-2.0
Boise State University,2,3,16.0
Stanford University,2,3,15.0
Centre for Star and Planet Formation,2,2,-2.0
University of Toledo,2,2,16.0
Universidad de Chile,2,2,-2.0
Universidad de Concepción,2,2,-2.0
Indiana University-Bloomington,2,2,15.0
Université Grenoble Alpes,2,1,-2.0
A. Mickiewicz University,2,1,-2.0
Institut de Recherche sur les Exoplanètes,2,1,-2.0
Astronomical Observatory Institute,2,1,-2.0
Ball State University,2,1,16.0
Newcastle University,2,1,-2.0
Jodrell Bank Centre for Astrophysics,2,1,-2.0
Millennium Institute of Astrophysics,2,1,-2.0
Tsinghua University,2,1,-2.0
Institut de Physique du Globe,1,,-2.0
Aix-Marseille University,1,,-2.0
Università degli Studi di Torino,1,,-2.0
International Centre for Radio Astronomy Research (ICRAR),1,,-2.0
Aix Marseille University,1,,-2.0
University of Auckland,1,,-2.0
University of Wisconsin-Milwaukee,1,,15.0
Università degli Studi di Trino,1,,-2.0
University Of Turku,1,,-2.0
Università di Torino,1,,-2.0
” Università di Padova,1,,-2.0
Universitat de Barcelona (IEEC-UB),1,,-2.0
Universitat Politècnica de Catalunya,1,,-2.0
Max-Planck-Institute für Extraterrestriche Physik,1,,-2.0
Physikalisches Institut &amp,1,,-2.0
Birmingham Institute for Gravitational Wave Astronomy,1,,-2.0
University of Southern Queensland Faculty of Health,1,,-2.0
Leibniz Institute for Astrophysics (AIP),1,,-2.0
Leibniz-Institut für Astrophysik Potsdam,1,,-2.0
Krakow Pedagogical University,1,,-2.0
University of Salento,1,,-2.0
University of Oxford Denys,1,,-2.0
India and Aryabhatta Research Institute of Observational Sciences (ARIES),1,,-2.0
Leicester Institute of Space and Earth Observation,1,,-2.0
Aqaba University College,1,,-2.0
Konkoly Observatory.,1,,-2.0
Max Planck Institut für Astronomie,1,,-2.0
University of Delhi South Campus,1,,-2.0
University of Nebraska at Omaha,1,,16.0
University of Minnesota-Twin Cities,1,,15.0
Max Planck Institute for Astronomy (MPIA),1,,-2.0
University of Leiden,1,,-2.0
University of Tirana,1,,-2.0
University of Hyderabad,1,,-2.0
Max-Planck-Institut für extraterrestrische Physik,1,,-2.0
Max-Planck-Institut für extraterrestrische Physik (MPE),1,,-2.0
Institut de Ciències del Cosmos,1,,-2.0
Institut de Recherche sur les Exoplanètes (iREx),1,,-2.0
Pune University Campus,1,,-2.0
Universidad de Oviedo,1,,-2.0
Centre of Astro-Engineering UC,1,,-2.0
1National Centre for Radio Astrophysics,1,,-2.0
Center of Astro-Engineering UC,1,,-2.0
Northeastern University,1,,15.0
1629 E. University Boulevard,1,,-2.0
Vilnius University Observatory,1,,-2.0
Observatory 23,1,,-2.0
Institut für Astronomie und Astrophysik Tübingen (IAAT),1,,-2.0
Institute of Astronomy of National Central University,1,,-2.0
Instituto Tecnológico y de Estudios Superiores de Monterrey,1,,-2.0
Osaka University,1,,-2.0
Université de Liége,1,,-2.0
College of Physics &amp,1,,-2.0
Institute Utinam,1,,-2.0
Institute of Physics and Astronomy,1,,-2.0
Rutgers University-New Brunswick,1,,15.0
Institute of Informatics and Communication,1,,-2.0
and Centre for Astrophysics and Relativity,1,,-2.0
Radboud University,1,,-2.0
and Institute for Research on Exoplanets,1,,-2.0
Chuxiong Normal University,1,,-2.0
Vatican Observatory,1,,-2.0
Arthur C. Clarke Institute for Modern Technologies,1,,-2.0
European Space Research and Technology Centre (ESA/ESTEC),1,,-2.0
Fesenkov Astrophysical Institute,1,,-2.0
The University of Texas at San Antonio,1,,15.0
Suhora Observatory and Kraków Pedagogical University,1,,-2.0
Naresuan University,1,,-2.0
Instituto de Física y Astronomía y Centro de Astrofísica de Valparaíso,1,,-2.0
Technical University of Munich,1,,-2.0
Embry-Riddle Aeronautical University-Daytona Beach,1,,18.0
Universidad Complutense de Madrid,1,,-2.0
Institut de recherche sur les exoplanetes (iREx),1,,-2.0
Technical University Berlin,1,,-2.0
Institut de Recherche sur les Exoplanètes (iREx) and Département de Physique,1,,-2.0
CSIR-Institute of Genomics and Integrative Biology,1,,-2.0
The Pennsylvania State University,1,42,15.0
Observatory 7935,1,31,-2.0
University Park,1,30,-2.0
Space Science Institute,1,29,-3.0
Max-Planck-Institut für Sonnensystemforschung,1,29,-2.0
Northwestern University,1,26,15.0
University of Amsterdam,1,25,-2.0
Ege University,1,19,-2.0
Georg-August-Universität Göttingen,1,18,-2.0
Konkoly Observatory of the Hungarian Academy of Sciences,1,16,-2.0
Shumen University,1,16,-2.0
University of Ege,1,15,-2.0
Georgia State University,1,14,15.0
Université Pierre &amp,1,12,-2.0
Peking University,1,12,-2.0
Radboud University Nijmegen,1,11,-2.0
Institut d'Astrophysique et de Géophysique,1,9,-2.0
Hobart William Smith Colleges,1,8,21.0
Lowell Observatory,1,8,-2.0
National Central University,1,8,-2.0
Moscow State University,1,8,-2.0
Stellar Astrophysics Centre (SAC),1,8,-2.0
Tata Institute of Fundamental Research,1,8,-2.0
University of Wisconsin-Madison,1,8,15.0
Arizona State University Campus Immersion,1,7,15.0
LCOGT,1,7,-3.0
Institute of Astronomy and NAO,1,7,-2.0
University of Rochester,1,7,15.0
Drexel University,1,7,15.0
National Solar Observatory,1,7,-3.0
University of Hertfordshire,1,6,-2.0
Louisiana State University and Agricultural & Mechanical College,1,6,15.0
Anton Pannekoek Institute for Astronomy,1,6,-2.0
Institut für Astronomie und Astrophysik,1,5,-2.0
German Aerospace Center (DLR),1,5,-2.0
University of Leicester,1,5,-2.0
American Association of Variable Star Observers (AAVSO),1,5,-3.0
University of Exeter,1,4,-2.0
University of Bristol,1,4,-2.0
Universidad de La Laguna,1,4,-2.0
Mount Stromlo Observatory,1,4,-2.0
University Road,1,4,-2.0
Astronomical Institute of the Slovak Academy of Sciences,1,4,-2.0
Universidad Nacional Autónoma de México,1,3,-2.0
ELTE Gothard Astrophysical Observatory,1,3,-2.0
ELTE Eötvös Loránd University,1,3,-2.0
Lehigh University,1,3,16.0
Mt. Suhora Observatory,1,3,-2.0
Finnish Centre for Astronomy with ESO (FINCA),1,3,-2.0
Gothard Astrophysical Observatory,1,3,-2.0
University of California Los Angeles,1,3,-2.0
Aryabhatta Research Institute of observational sciencES (ARIES),1,2,-2.0
Pedagogical University of Cracow,1,2,-2.0
Centre for Exoplanet Science,1,2,-2.0
Leibniz-Institute for Astrophysics Potsdam (AIP),1,2,-2.0
Suhora Observatory and Krakow Pedagogical University,1,2,-2.0
Instituto de Astronomia,1,2,-2.0
Instituto de Astronomía,1,2,-2.0
Instituto de Astrofisica de Canarias,1,2,-2.0
Instituto de Física,1,2,-2.0
Chungnam National University,1,2,-2.0
Universidad de Buenos Aires,1,2,-2.0
McMaster University,1,2,-2.0
Universidad de Valparaíso,1,2,-2.0
University of the Western Cape,1,2,-2.0
Computational Engineering and Science Research Centre,1,2,-2.0
Royal Observatory,1,1,-2.0
College of Physics,1,1,-2.0
Charles University,1,1,-2.0
Origins Institute,1,1,-2.0
Western Kentucky University,1,1,17.0
Institute of Astrophysics,1,1,-2.0
Moscow University,1,1,-2.0
MTA Research Centre for Astronomy and Earth Sciences,1,1,-2.0
1906 College Heights Blvd.,1,1,-2.0
Georg-August Universität Göttingen,1,1,-2.0
Max-Planck-Institut für Extraterrestrische Physik,1,1,-2.0
University of Dundee,1,1,-2.0
Max-Planck-Institute for Astronomy,1,1,-2.0
Université de Franche-Comté,1,1,-2.0
NASA Astrobiology VPL,1,1,-4.0
Guizhou University,1,1,-2.0
