Affiliation,K2_count,Kepler_count,CarnegieClass
Brigham Young University,,3,16.0
Purdue University-Main Campus,,3,15.0
Catania Astrophysical Observatory,,3,-2.0
Carnegie Mellon University,,3,15.0
Indian Institute of Science,,3,-2.0
Pulkovo Astronomical Observatory,,3,-2.0
Polar Geophysical Institute,,3,-2.0
211 Bryant Space Science Center,,3,-2.0
Cheyne Walk Observatory,,3,-2.0
IRFU/SAp Centre de Saclay,,3,-2.0
Adam Mickiewicz University,,3,-2.0
Instituut voor Sterrenkunde (IvS),,3,-2.0
National Observatory of Athens,,3,-2.0
University of Utah,,3,15.0
Universidad de Antioquia,,3,-2.0
University of Pennsylvania,,3,15.0
Observatorio Astronómico de Córdoba,,3,-2.0
Eötvös Loránd University,,3,-2.0
Astronomical Institute 'Anton Pannekoek',,3,-2.0
University of Shumen,,3,-2.0
Hebrew University of Jerusalem,,3,-2.0
International Space Science Institute - Beijing,,3,-2.0
University of Southampton,,3,-2.0
Institute for Computational Astrophysics,,3,-2.0
Universidade Federal do Ceará,,3,-2.0
Centre for Mathematical Sciences,,3,-2.0
Universidade do Estado do Rio Grande do Norte,,3,-2.0
Centre for Planetary Sciences,,3,-2.0
Observatorio Astronómico,,3,-2.0
Ewha Womans University,,3,-2.0
University of Zagreb,,3,-2.0
Universiteit Leuven,,3,-2.0
Advanced Technologies Research Institute,,3,-2.0
Charles University in Prague,,3,-2.0
Astrophysical Observatory of Catania,,3,-2.0
University of Nevada-Las Vegas,,3,15.0
Copernicus Astronomical Centre,,3,-2.0
Astronomical Observatory,,3,-2.0
King Saud University,,3,-2.0
Observatoire de Paris-Meudon,,2,-2.0
Max-Planck Institute for Astronomy,,2,-2.0
Graduate Institute of Astronomy,,2,-2.0
Campus Universitário,,2,-2.0
Pedagogical University,,2,-2.0
College of Physics and Electronic information,,2,-2.0
Max Plank Institute for Astronomy (MPIA),,2,-2.0
Universidade Federal Rural do Semi-Árido,,2,-2.0
College of Physics and Electronic Engineering,,2,-2.0
Camosun College,,2,-2.0
Copenhagen University,,2,-2.0
Handan University,,2,-2.0
Dark Cosmology Centre,,2,-2.0
Grinnell College,,2,21.0
PO Box 9 Observatory 7935 Cape Town,,2,-2.0
Canakkale Onsekiz Mart University,,2,-2.0
Universidad Internacional de Valencia (VIU),,2,-2.0
Observatoire de Paris - PSL Research University,,2,-2.0
Universidad Nacional de La Plata Paseo del Bosque S/N,,2,-2.0
Heidelberg Institute for oretical Studies,,2,-2.0
Girne American University,,2,-2.0
Royal Observatory of Belgium (ROB),,2,-2.0
Florida Atlantic University,,2,16.0
Central Pulkovo Astronomical Observatory,,2,-2.0
NASA Goddard Institute for Space Studies,,2,-3.0
SRON Netherlands Institute for Space Research,,2,-2.0
Finnish Centre for Astronomy with ESO,,2,-2.0
STAR Institute,,2,-2.0
NRAO,,2,-3.0
European Space Astronomy Centre (ESA),,2,-2.0
National Research Institute of Astronomy and Geophysics,,2,-2.0
Science and Technology Research Institute,,2,-2.0
Space Research Institute (IWF),,2,-2.0
FACom-Instituto de Física-FCEN,,2,-2.0
Centre for Fusion,,2,-2.0
Sorbonne Université et Univ. Paris Diderot,,2,-2.0
Centre for mathematical Plasma Astrophysics,,2,-2.0
Netherlands Institute for Space Research (SRON),,2,-2.0
Royal Observatory Edinburgh,,2,-2.0
Physics Institute,,2,-2.0
China West Normal University,,2,-2.0
Tirana University,,2,-2.0
North Carolina State University at Raleigh,,2,15.0
Cidade Universitária São Paulo,,2,-2.0
Qatar Environment and Energy Research Institute (QEERI),,2,-2.0
Technische Universität Berlin,,2,-2.0
McDonnell Center for the Space Sciences &amp,,2,-2.0
Technion - Israel Institute of Technology,,2,-2.0
Cidade Universitária,,2,-2.0
Center for Radio Astronomy and Astrophysics (CRAAM),,2,-2.0
Racah Institute of Physics,,2,-2.0
Nishi-Harima Astronomical Observatory,,2,-2.0
Rennes 1 University,,2,-2.0
ESO - European Southern Observatory,,2,-2.0
Earth-Life Science Institute,,2,-2.0
Succursale Centre-Ville,,2,-2.0
George Mason University,,2,15.0
BAER,,2,-2.0
Allegheny College,,2,21.0
Izmir University of Economics,,2,-2.0
Anton Pannekoek Institute (API),,2,-2.0
